model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
Informer,60,96,96,0.19927145540714264,0.32187938690185547,0.4463983178138733,3.7922768592834473,7613.75830078125
model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
Informer,60,96,192,0.2562049925327301,0.3705216348171234,0.506166934967041,3.41051983833313,5198.0419921875
model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
Informer,60,96,336,0.41395124793052673,0.49887731671333313,0.643390417098999,5.8856940269470215,15085.4326171875
model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
Informer,60,96,720,0.47577258944511414,0.5455732345581055,0.6897627115249634,6.181966781616211,18442.357421875
model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
Informer,60,mean,mean,0.3363000713288784,0.43421289324760437,0.5714295953512192,4.817614376544952,11584.897583007812
