model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
Informer,15,96,96,0.07829552888870239,0.1949133276939392,0.27981337904930115,2.0007121562957764,12574.2001953125
model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
Informer,15,96,192,0.10499799251556396,0.2249147593975067,0.3240339457988739,2.09567928314209,12002.23046875
model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
Informer,15,96,336,0.17391636967658997,0.29477766156196594,0.41703280806541443,2.6920931339263916,12110.8916015625
model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
Informer,15,96,720,0.22547772526741028,0.3532107472419739,0.47484496235847473,2.854246139526367,8974.0361328125
model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
Informer,15,mean,mean,0.14567190408706665,0.26695412397384644,0.37393127381801605,2.4106826782226562,11415.339599609375
