model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
TimeMixer,60,96,96,0.13241280615329742,0.25120463967323303,0.36388570070266724,2.0677144527435303,1913.3524169921875
MICN,60,96,96,0.14044587314128876,0.2543395459651947,0.37476107478141785,2.6232969760894775,3596.823486328125
PatchTST,60,96,96,0.142247274518013,0.26147744059562683,0.3771568238735199,2.427450656890869,3190.1474609375
Nonstationary,60,96,96,0.1439998894929886,0.2641056776046753,0.37947317957878113,2.131908416748047,1623.1827392578125
iTransformer,60,96,96,0.14416909217834473,0.2626855969429016,0.3796960413455963,2.1460165977478027,1939.0626220703125
TimesNet,60,96,96,0.1454528570175171,0.26207929849624634,0.3813828229904175,2.230142116546631,2396.98095703125
FEDformer,60,96,96,0.15347591042518616,0.2756257951259613,0.3917600214481354,2.7646663188934326,3492.517822265625
SegRNN,60,96,96,0.15579205751419067,0.27751442790031433,0.39470502734184265,2.755232810974121,3947.030029296875
Crossformer,60,96,96,0.15942703187465668,0.2850140333175659,0.39928314089775085,2.8459503650665283,4260.6572265625
DLinear,60,96,96,0.1746293604373932,0.2961568236351013,0.41788679361343384,2.5742170810699463,2915.36279296875
TSMixer,60,96,96,0.17600639164447784,0.3001157343387604,0.4195311665534973,2.693385124206543,3381.14697265625
Transformer,60,96,96,0.18624235689640045,0.3041525185108185,0.4315580427646637,2.6919214725494385,3947.26123046875
Informer,60,96,96,0.1959533989429474,0.32046303153038025,0.442666232585907,3.713282346725464,7010.43994140625
Autoformer,60,96,96,0.20001982152462006,0.3320639729499817,0.44723576307296753,3.347752809524536,4668.853515625
model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
PatchTST,60,336,96,0.14271777868270874,0.2644706666469574,0.37778007984161377,2.300337314605713,2407.5791015625
DLinear,60,336,96,0.16037346422672272,0.27600380778312683,0.40046656131744385,2.1441617012023926,2127.352783203125
Informer,60,336,96,0.20855607092380524,0.3301389515399933,0.45667940378189087,3.658754348754883,6918.73291015625
model,granularity,seq_len,pred_len,MSE,MAE,RMSE,MAPE,MSPE
TimeMixer,60,96,192,0.19105876982212067,0.3046841621398926,0.43710270524024963,2.7085981369018555,4170.54296875
iTransformer,60,96,192,0.2061670869588852,0.32285553216934204,0.4540562629699707,2.702162742614746,3915.02392578125
PatchTST,60,96,192,0.2077203243970871,0.31765514612197876,0.45576345920562744,2.5710930824279785,3072.03173828125
TimesNet,60,96,192,0.21024024486541748,0.31879979372024536,0.4585196375846863,2.5901377201080322,3291.321044921875
Crossformer,60,96,192,0.210738405585289,0.333806574344635,0.45906251668930054,3.10465407371521,3818.712158203125
Nonstationary,60,96,192,0.21147896349430084,0.33023181557655334,0.4598684310913086,2.996495008468628,4329.84521484375
SegRNN,60,96,192,0.21285967528820038,0.32916298508644104,0.4613671898841858,3.061690092086792,4172.00341796875
MICN,60,96,192,0.21305158734321594,0.33387207984924316,0.46157512068748474,3.7349798679351807,7041.91357421875
